"CandidateID","Additional-Info","Skills","Work-Experience__Company","Work-Experience__Job-Description","Work-Experience__Job-Duration","Work-Experience__Job Title","Location","Education__Institute","Education__School-Duration","Education__Qualification","Resume-Summary"
"1","Additional Information Skills Windows Technical Management. Linux Implementation and  Basic Network and Server Management & SCCM  2012installation and troubleshooting.    Past Experience Worked as technical customer support in HCL services  For 6 months from feb to july 2015.totally 12 months of working  experience    TCS","Desktop Support (1 year)","Tata Consultancy Services (TCS) - Chennai, Tamil Nadu","I am an associate of Tata Consultancy Services. My domain of expertise is IT IS Desktop  Support, the following is a summary of my work experience    -I have worked with problem owners, other stakeholders to identify problem scope and  escalate IT service outages to specialized teams. Performing end-to-end incident management  and managing production environment without any issues.    -Provided dedicated technical/IT support to various client, including identifying problem  incidents with their subsequent resolutions.    -Assisted company personel with desktop operation, including both hardware and software  -Provided employee training and instructions (through presentations) regarding basic  operation of software and hardware, technical support and quality standards.    -Supervised and performed installation of new IT equipment and system software.    -Responsible for diagnosing & resolving hardware, software & end users problems.    -Acting as the first point of contact for all IT & technical queries. Developing the  infrastructure and systems to meet the companies' needs.    -Working within a TCP/IP network environment, including DHCP, DNS and Ethernet.  Involved in the rollout of software updates and patches.    -Investigate specialist and complex IT support issues for entire TCS TRIL location.  Communicating with third party technical specialists.    -Configuring and managing backup & restore procedures. Maintaining a wide range of  computer hardware and software programmes.    -Deploying new hardware, evaluating new software & security risks.    -In-depth knowledge of Microsoft Windows client operating systems, XP, Vista, Windows 7, 8, 8.1& 10 Microsoft Office up to Office 2016.    TCS  -IT security experience including SEPM anti-virus / malware, MacAfee encryption  deployment. Technology & SPOC for GO green (power reduction techniques for TCS)    -I have experience in SCCM 2012 installation and configuration and in Windows Server  2008 AD maintenance.","September 2015 to July 2016","Desktop Support Engineer","Tiruchchirappalli, Tamil Nadu","MIET ENGG College & Anna University Tiruchchirappalli, Tamil Nadu","June 2011 to June 2014","None","ready to join immediately"
"4","Additional Information ➢ Highly motivated, innovative with good academic record.  ➢ Great believer in team work and hard work.    Work-Experience  Working as desktop support engineer in Institute of Computer Networking for 16 months.","MCTS. microsoft certified technology specialist, windows 7 configuration.","AG solution. - Hyderabad, Andhra Pradesh","Assembling a new machines, to connect LAN, WAN, installations of windows operating systems, severs. Active directory 2003,2008 server, DHCP. recovery. backup. troubleshooting of windows. maintenance of hardware devices. and many more..............","None","Desktop support.","Hyderabad, Andhra Pradesh","allama iqbaal urdu high school. nanded","January 2005 to January 2006","perusing (BCS) 3rd year in computer science","➢ Career development and growth through employment with good growing and developing company.  ➢ Continuous personal development through new skills building & improved knowledge.  ➢ I am towards higher better prospects for the company, my objective is to attend progress by achieving the target through enhance productivity and commitment for the origination."
"5","Additional Information KEY SKILLS AND COMPETENCIES    • Working knowledge of major networking components & hardware components.  • Ability to explain technical issues clearly to non-technical colleagues.  • Knowledge on MS Outlook utilization.  • Thorough understanding of Windows, basic Unix and Mysql commands  • Extensive knowledge of Microsoft based operating systems, including Windows Server 2012, and Windows 8.    AREAS OF EXPERTISE    • LAN/WAN Troubleshooting  • TCP/IP, UDP, DHCP, POP3, SMTP  • Outlook troubleshooting  • Windows […] server installations  • Remote Access, VNC, Putty, TeamViewer  • Data backup for mysql.","windows OS, troubleshooting the issues,maintanance (1 year)","Earlyfashions pvt ltd","Maintenance, installation and configuration of windows servers and clients OS, around Microsoft Server Technologies, Solving issues through remote access and troubleshooting network printers    Responsibilities:  • Giving support to the technical aspects to our clients.  • Analyzing & developing key components using methodology prescribed techniques.  • Communicating and negotiating with users, specialists, other staff and suppliers.  • Network connectivity troubleshooting, VPN, Tracert, Telnet.  • Configuration, installation and backup of Outlook. creating archive folders (.pst)  • Investigating, diagnosing and resolve network problems.  • Maintaining pre-packaged software applications on the LAN.","April 2014 to April 2014","Desktop support engineer","Hyderabad, Andhra Pradesh","JNT University","2010 to 2014","B tech","None"
"8","None","Windows Server 2012,2008 and microsoft products. (3 years)","Future Focus Infotech pvt. ltd. - Chennai, Tamil Nadu && Crown solutions (p) LTD. - Chennai, Tamil Nadu && Sri kumaran info system - Chennai, Tamil Nadu","Responsibilities  Responsible for providing IT assistance to users include application support, hardware, software installation and troubleshooting && Responsibilities  Responsible for configuring, maintaining and troubleshooting the system related issues && None","December 2014 to Present && January 2013 to June 2014 && January 2012 to December 2012","Desktop Support Engineer && Desktop Support Engineer L1 && System Engineer","Chennai, Tamil Nadu","Hindustan Institute of Engineering Technology Chennai, Tamil Nadu && Balaji.metric.hr.sec.school – Chennai. Chennai, Tamil Nadu","2011 && 2008","Diploma in Computer Science Engineering && Secondary School Education","* Iam having more than 3 years Experience as Desktop Support Engineer  * Good knowledge in Implementing, Managing Microsoft Windows Operating Systems  * Excellent background in the assembling, installation, upgrade, configuration, and support of hardware, software and peripherals.    KEY STRENGTHS  * Superior ability to achieve immediate and long term goals  * Excellent human relation skills  * Adaptability to latest hardware and software technologies    TECHNICAL SKILLS  * Good knowledge in OSI, DHCP and DNS Concepts.  * Good knowledge in Active Directory services  * Creating users, groups and organizational unit in AD  * Assigning permissions for users as per requirement in local accounts and AD.  * Good knowledge in System Centre Configuration Manager (SCCM)"
"11","Additional Information Additional Qualifications ..    ❖ Completed Hardware and Networking GIMS (Global Infrastructure Management Specialist)  From Indian Institute of Hardware Technology Ltd. (IIHT)    ❖ State Trade Certificate (COPA)    ❖ Certificate in Computer Concept (CCC)    Microsoft International Certification    Microsoft Certification ID: 7412581  To View My Certificate  https://mcp.microsoft.com/authenticate/validatemcp.aspx  Transcript ID: 940696 Access Code: vishaljoshi  70-290: Managing and Maintaining Microsoft windows server 2003 Environment.  70-291: Implementing, Managing and Maintaining a Microsoft windows server  2003 Network infrastructure.    Technical Skills    A+ (Hardware)    ❖ Installation, Maintenance & troubleshooting of all the hardware components along with the  Network peripherals.  ❖ Operating Systems Installation:-Windows Xp, Win Vista, Win 7, Sun Solaris, Linux, Win 98,  Ubantu.    N+ (Network)    ❖ Configuration of Ftp, Telnet, Http, RIS (Remote installation service), All networking  Basic command and network troubleshooting.    MCSE (Microsoft Certified System Engineer)    ❖ Maintaining and configuring win2k prof. & server, win XP and Win2k3 Server.  ❖ User level and file level security in domain-client network.  ❖ RAID implementation and Local and Domain security policy.  ❖ Remote installation server, maintaining DNS, DHCP, SUS IIS.  ❖ WEB Server, FTP Server, Print Server, Proxy Server, ICF & ICS Configuration.  ❖ Maintaining exchange server, mailing, chat server load-balancing.  ❖ RAS server with / without RADIUS Server, VPN Server with/without RADIUS Server,  IPSEC and Network Address Translation Configuration along with Port Forwarding.  ❖ Implement GPO in Active Directory, Trusting with Different Forest and Child Domain Controller  And Active Directory Sites & Services Configuration.","Networking (4 years), Desktop Support (4 years), Network Engineer (4 years), Network Administration (4 years)","Pearson Education Services Pvt Ltd - Ahmedabad, Gujarat","Handling Windows 2003 and 2008 Server With Security.  Handling All Type Of Network And System Related Issues.  Handling System Installation, Hardware Troubleshoots And Network Troubleshooting.","December 2011 to Present","Desktop & Network Support Engineer","Ahmedabad, Gujarat","Gujarat university && Gujarat University && J.G.College of primary education ahmedabad","April 2012 && April 2011 && April 2008","B.ed && B.A. && None","❖ To apply all of my technical proficiencies and knowledge to my work and thus to serve  Organization and learn emerging technologies."
"14","Additional Information SKILLS    System    • Microsoft Exchange Servers: Install, configure, deploy, maintain and support.  • Microsoft Windows Server Operating Systems: Install, configure, deploy, maintain and support.  • Microsoft Windows Desktop OS: Install, configure, deploy, maintain and support.  • Microsoft Office Software: Install, configure, deploy, maintain and support.  • Hardware: Maintenance and troubleshooting.  Server  • Strong interpersonal and communication skills    Network    * Configuration to all types Cisco switches and router  * Networking: Switches, Routers, Hubs, Servers, Cables, Racks, Firewalls, LAN, WAN, TCP/IP, DNS, UDP, Latency, VoIP, QoS, EIGRP, BGP, OSPF, NHRP, ATM, PPP, MPLS    Strengths    -Confident in accomplishing any new project.  -Can complete a task within stipulated time.  -Can provide ingenious solutions to a problem.  -Can lead a team from the forefront.  -Can utilize the available resources as much as possible.  -Glad to face new challenges.  -Communication Skills required acquiring desired results.  -Hardworking.    Goals    -Improve the quality of a work.  -Complete a work within stipulated time.  -Ensure a steady growth of a company.","System Administration (3 years), System Engineer (2 years), Network Administration (5 years), Network Engineer (5 years)","IMSI India PVT LTD && Oriental Manufacture pvt ltd && Meridian info Tech Ltd - Vadodara, Gujarat","• Responsibility of computer hardware engineer•  • basic Mail Server configuration & maintenance •  • basic Domain controller configuration & maintenance •  • basic DHCP Server configuration & maintenance •  • Antivirus & File Server configuration & maintenance •  • To give Technical Support to different departments •  • Installation of Computer Hardware, Software and Network Topology •  • Providing assistance to network printers •  • Technical support for Workshops / Conferences (Audio / Video) •  • Bandwidth using management & access usage control •  • Design the Network Model layout for proposed building of (CEUI) •  • Website monitoring / Management / Website hosting •  • Troubleshooting of LAN / WAN  • Data Backup and Recovery && • Being ready for and dealing with service outages.  • Having contingency plans in place for diverse threats such as spam, viruses, spyware, power outages, fires and floods.  • Connecting cables between servers and nodes.  • Arriving quickly at the scene of any reported system problem.  • Participating in technical research.  • Setting up user accounts.  • Maintaining respectful interactions with members of staff.  • Recording all periods of downtime.  • Training company technical staff in how to maintain the system.  • Having a system in place that backs up all important data.  • Making specific recommendations about future upgrades to the system.  • Writing up operational and troubleshooting procedures.  • Writing professional reports and business correspondence to senior managers.  • Installing, maintaining, and troubleshooting Windows servers.  • Performing on-site and remote technical support.  • Responding to error reports, problems or questions.  • Providing technical input for business projects in specialist technical areas.  • Repairing hardware and software failures.  • Maximising the performance and availability of IT systems.  • Configuring and managing UNIX and Window systems.  • Installing operating system software.  • Collaborating, assisting, and communicating with technical and non-technical personnel. Identify weak documentation and processes and then develop improvements.  • Establishing and maintaining database security.  • Resolving or escalating problems.  • Incident response and root cause analysis.  • Perform data backups and disaster recovery operations.  • Monitoring database performance.  • Server racking, installation and configuration.  • Managing printer setup, configuration and problem resolution.  • Enforcing system security policies. && • Identifying, diagnosing, and resolving network problems.  • Tactfully handling irate end users.  • Performing complex implementation and maintenance tasks on the LAN and WAN.  • Install all new hardware, systems, and software for networks.  • Install, configure, maintain network services, equipment and devices.  • Supports administration of servers and server clusters.  • Manages all system back-up and restore protocol.  • Plans and supports network and computing infrastructure.  • Perform troubleshooting analysis of servers, workstations and associated systems.  • Documents network problems and resolution for future reference.  • Monitors system performance and implements performance tuning.  • Manage user accounts, permissions, email, anti-virus, anti-spam.  • Requires a thorough knowledge of networking essentials.  • Oversee software and network security.  • Strong analytical abilities and professional office experience needed.","September 2015 to September 2016 && September 2013 to September 2015 && August 2008 to September 2013","Desktop Engineer L2 && System Administrator/Desktop Support Engineer && Network Engineer","Vadodara, Gujarat","B COLLEGE && Board/ University && IGNOU","2008 && None && None","Diploma in C.E && B.C.A in MSU && None","Innovative and solutions-focused IT Project Manager with more than 8 years in IT Field and enterprise project management. Certified IT Project experienced in managing projects related to Hardware and software tools installation and migration, server visualization and end user computing."
"17","Additional Information Key Strengths    ➢ Self-starter with a positive attitude, teamwork, everlasting zeal to learn new concepts and acceptance of challenges.  ➢ Systematic Approach and quick adaptability to new technologies.","windows server , desktop issues , ip phones (3 years)","Ai IT Solutions - Visakhapatnam, Andhra Pradesh && KMS Pvt.ltd","Worked as a Desktop support engineer in A1 IT SOLUTIONS from May 2014 to December 2015.  ➢ Worked as a Desktop engineer L1 (Windows Admin) in LUPIN LIMITED (Pharmacy Company) as behalf of F.F.I (I.B.M) from December 2015 to October 2016.  ➢ Working as a Senior Associate in HCL from October 2016 to till date.    Roles and Responsibilities:  ➢ Solving day to day Issues raised by users as per the priority given to them and intimating users the solution by phone/Ticketing tool.  ➢ Worked on product support. The scope of support includes resolution of problems logged by users  ➢ Monitoring tickets in support queue and driving them to resolution within timeframe.  ➢ Biweekly meeting with the business for reviewing monthly forecast process.  ➢ Interact with onsite people regarding clarifications, updating and suggestions  ➢ Assisting end users on queries and other related queries.  ➢ We ensure all the equipment logins should be ADID and it is validated and Secured. && None","May 2014 to December 2015 && April 2012 to April 2014","Desktop Engineer && service engineer","Vepagunta, Andhra Pradesh","E.C.E Kakinada, Andhra Pradesh","2010","B.TECH","L1 Level Knowledge on Windows Support    ➢ Provide end-user-computing services, including helpdesk and technology support services.  ➢ Provide escalation services based on the support matrix appropriately.  ➢ Provide orientation to new users about existing technology, used in parent organization.  ➢ Provide remote support to operations and leadership as & when required.  ➢ Daily call logging monitoring & analysis to eradicate repetitive task.  ➢ Responsible for driving and leading the delivery of professional IT services.  ➢ Built a collaborative relationship with the Business team.  ➢ Duties include review of Business requirements, analysis and also to test plan reviews.  ➢ Responsibility for solving medium to high complexity issues and communicating the problem resolution, additional information to customer, project teams and other IT support groups.  ➢ To meet with Business heads for the development of Business related application.  ➢ Perform inventories and usage monitoring of all IT assets and record all findings, changes, physical location, and incidences of support.  ➢ Effectively communicate asset management strategies to team members and stakeholders in a timely and clear fashion.  ➢ Physical verification of assets on yearly bases across all location.  ➢ Configuration of IP Phones, specialist in AVAYA IP PHONES.  ➢ Outlook exchange server configurations and basic troubleshooting.  ➢ Call assignment to the user based on feasibility.  ➢ User rights management.  ➢ Documenting and spooling reports based on customer requirement.  ➢ Manage different security level features based on the business requirement.  ➢ Maintenance of Active Directory Issues.  ➢ DHCP, DNS and WDS.  ➢ Windows Operating Systems (Windows 7 and its successors including Windows 10)    VM Level Knowledge    ➢ Creating Virtual Machines and installing guest on VM's.  ➢ Configuring ESXi Host as a NTP Client and Synchronizing guest OS time with Exsi Host.  ➢ Adding Esxi host to vCenter server inventory.  ➢ Configuring Virtual networking with Virtual Switches (VM port groups and Kernel port groups)  ➢ Configuring ISCSI Storage.  ➢ Performing Snapshots, Cloning, Cold Migrations and Hot Migrations.  ➢ Creating Templates from VM. Deploying VM's from templates and allocates resources.  ➢ Creating duplicate Virtual Machine's using cloning technology (hot & cold)  ➢ Retrieving Virtual Machines by using .vmx file.  ➢ Creating Clusters for High Availability, Dynamic Resource Scheduling and Fault Tolerance.  ➢ To manage patches of Esxi Hosts using Update Manager.  ➢ Creating users, integrating Esxi Host with AD and providing user Permissions access vCenter.  ➢ Setting up Users and Groups for access to the Virtual Center.  ➢ Organize tasks, events and Configuring alarms.  ➢ Migrating of Virtual Machines using V Motion.  ➢ Performance Monitoring  ➢ To create Resource Pools for allocating resources to groups of VM'S    ASSETS MANAGEMENT  ➢ Establish policies and procedures for tracking the sign-in and sign-out of Desktop, mobile  Assets such as laptops, Data card & Entrust Token."
"20","None","BPO Operations","Knoah Solutions - Hyderabad, Andhra Pradesh && Mahindra Satyam BPO - Hyderabad, Andhra Pradesh && CSS Corp - Chennai, Tamil Nadu","Nov '2011 - Oct 31    • Solves, or assists help desk representatives in solving, non-routine or complex software, hardware, and networking and procedure problems  • Providing support to customer in setting up internet connection via Dial-up & Dsl modems  • Assisted in the installation of critical applications and components through remote assistance  • Managed trouble tickets using various call-tracking systems and meeting accelerated deadlines and metrics  • Resolved all escalated technical support calls on schedule by ensuring the complaints reported by the customers are resolved within the timeline allotted for the nature of complaint && Provided L1 and L2 customer technical support of desktop, network hardware, software and applications  • Providing assistance to customer's in setting up DSL internet connection via modem or wireless router  • Answer calls of the clients and schedule visit to the sites if the problems cannot be resolved on the telephone by escalating issues to network office by monitoring customers phone line && Configuring customers routers according to the internet connection provided at their home  Configuring switches for wired connection  • Setting up wireless routers, adapters, access point, wireless bridges for wireless connection at customer's place","November 2011 to November 2011 && April 2010 to March 2011 && February 2009 to April 2010","Senior Technical Support Specialist && Technical supoort Level 2 && Technical Support Executive Level 1","Bangalore, Karnataka","DRKIST Hyderabad, Andhra Pradesh","2004 to 2008","B.Tech in E.E.E","I aspire for a challenging position that will allow me to contribute the value of my skills while offering me a challenging environment of opportunity and growth."
"21","Additional Information SKILLS:  • Configure and Maintenance of wired and wireless networks.  • Ability to troubleshoot switches routers and servers.  • Great knowledge in email, anti-virus & anti-spam  • Operating System: Windows 2012, 2008, Win 7, Win Vista, Win XP.  • Perform and manage systems, configurations, installation, upgrades, and enhancements  • Install and Support LAN's, WAN's, Network segments, internet and intranet systems  • Re-imaging of hard drives- using Norton Acronis True Image.  • Skilled in providing support to end users  • Ability to work independently to efficiently resolve customer issues.  .Network: LAN, MAN, WAN.    TECHNOLOGIES    Operating Systems: Window Server , Windows 7, Windows XP, Applications: MS Office , MS Outlook, Remote Desktop, Norton Ghost, Acronis True Image, Team viewer.  Hardware: Dell Optiplex GX, FX, RJ 45 connectors, Wireless Routers, Linksys Switches, Cisco Switches, HP Color LaserJet, DeskJet Printers. UPS (Uninterrupted Power Supply) Adobe Photoshop, Adobe Reader.    Protocols: TCP/IP, DNS, DHCP, SMTP, POP3, FTP, IGRP, EIGRP, OSPF.","MCSE (1 year), CCNA (1 year)","United Electronics Company Extra Superstores - Hyderabad, Andhra Pradesh","Duration: March 9, 2008 to Dec 2016  Job Description:  ✓ Responsible & Supervising for all (14) Western region Extra Stores involving in Windows IT Administration, Installation, Commissioning, Maintenance, Up-gradation and troubleshooting of Operating Systems (Server/Desktop/Laptop) and related systems.  ✓ Responsible for provide Online/Onsite technical support and other information required by the IT-Support Team.    ✓ Provide day-to-day technical support and administration of the technology infrastructure.    ✓ Creating and logging call on ITSD ( (IT Service Desk) and assigning request to appropriate agent for solving the issue with in the agreed time in SLA.    ✓ Troubleshoot, repair, maintain, install and perform testing activities on various computer equipment, peripheral, data communication and computer network system.  ✓ Maintain software and hardware inventory and tracking systems; monitor inventory, order, Stock and store electronic components  ✓ Problem management and creating new user and resetting users password using.  Active Directory maintenance.  ✓ Recording Theft Cases from Digital Video Recording ( CCTV)  ✓ Support / Troubleshooting of Point Of Sale Machines in the Showroom  ✓ Fulfill departments & users with PC & Printer requirements. Configuring Personal Computers TCP/IP communication parameters, desktop applications, main business  Application clients, and security/Antivirus client setup. And Provide Access to Shared printers, scanner, and Shared folders.  ✓ Provide assistance in fixing hardware and software problems by visiting the user in person & by VNC, Remote Desktop and Team Viewer software or on telephone for remote location.  ✓ Keep track of PC Equipment's and perform audit for software violation or any mishandling of computers and related devices and report it to his manager.  ✓ Setup, Configure and maintain LAN / WAN networks  ✓ Update/Upgrade Personal Computers & Desktop Applications.  ✓ Create & Track IT purchases, warranties, and maintenance issues.  ✓ Track Stock and distribution of IT stationeries and supplies.  ✓ Maintaining Inventory of I.T Products.  ✓ Configuring Ericsson IP Phones.  ✓ Monitor and Report Systems Logs and Alerts.  ✓ Performs and carries out duties as directed by the direct Manager.  ✓ Configuration of Outlook, User Profiles  ✓ Installation and Configuration of Microsoft Office 2007, 2010 & 2013 Microsoft Works.  ✓ Installing and configuring operating systems and applications.    Company: Expert Solutions (INDIA)  Role: Network Administrator    Expert Solutions, located at Hyderabad (India) providing computer hardware, Network solutions, It deals in Computers and Peripherals Such as HP, DELL, COMPAQ, IBM and specialized in Network Project Contracts    Job Description:  ➢ Creating new Local Area Network ( Domain or Workgroup)  ➢ Installing and configuring operating systems and applications.  ➢ Monitoring and maintaining computer systems and networks.  ➢ Making staff/clients through a series of actions, either face to face or over the telephone to help set up systems or resolve issues.  ➢ Troubleshooting system and network problems and diagnosing and solving hardware/software faults; replacing parts as required.  ➢ Responsible for the support of network services relating to desktop connectivity, User Profiles.  ➢ Supporting the roll-out of new applications; setting up new users' accounts and profiles and dealing with Password issues.  ➢ Responding within agreed time limits to call-outs.  ➢ Working continuously on a task until completion (or referral to third parties, if appropriate)  ➢ Prioritizing and managing many open cases at one time.  ➢ Installation and Configuration of Microsoft Office 2007, 2010 & 2013 Microsoft Works.  ➢ Installing and configuring operating systems and applications.  ➢ Monitoring and maintaining computer systems and networks  ➢ Rapidly establishing a good working relationship with customers and other professionals, e.g., software developers.  ➢ Testing and evaluating new technology.  ➢ Perform other tasks as required by management.","March 2008 to December 2016","Technical Support Specialist / Systems / Network Engineer","Hyderabad, Andhra Pradesh","Osmania University Hyderabad, Andhra Pradesh","1996 to 1998","B.Com in Commerce","None"
"28","Additional Information Personal Skills    ➢ Excellent problem solving/analytical skills, Quick and eager to learn new Technologies.  ➢ Disciplined, motivated, respectful, Focused Attitude and Perseverance.  ➢ Ability to work under pressurized working environments, deliver to tight deadlines and working effectively in a team.    • Providing L1 support for Work at home employees and Sutherland on-site employees.  • Configuring Mailbox of users in Microsoft Exchange Server – […]  • Troubleshooting Outlook and other application related issues.  • Movement of the user to appropriate OUs.  • Installation, Configuration and Troubleshooting Microsoft Office 2003, 2007 and 2010   • Creating OCS & Lync account and assigning feature based on requirement.  • Troubleshooting file share related issues.  • Resolving tickets with ITIL Process which includes Incident, Problem and change management also maintain SLA.  • Working with live environment where 24/7 support is required.","• Troubleshooting Outlook issues. • Installing Cisco VPN, VM ware, Citrix application. • Configuring & installing Avaya soft phone and Hard phones. • Configuration, Troubleshooting and Maintenance of the IT/Network infrastructure (Servers, Workstations, Printers & Peripherals). • Managing User Accounts in Active Directory Services Manage user accounts, permissions, passwords. • Good problem solving skills with an ability to work under pressure • Having experience with help desk tracking systems. • Configuring and troubleshooting of local and network printers. • Ability to drive the call in the Incident. • Proficient in analyzing information system needs, evaluating end-user requirements, troubleshooting for complex information systems management. • Strong understanding of Customer relationship. • Easy adaptability and accessibility to any environment. (2 years)","Sutherland global services","from past 1 year in Sutherland global services.  Worked 1 year as a IT Specialist in Sutherland Global Services in behalf of SAADHVI Technologies Pvt Ltd.    Roles & Responsibilities  ➢ Supporting Clients globally with the help of Remote support tools such as Log Mein Console, Lync Sharing & Remote Desktop Connection.  ➢ Responsible for providing IT assistance to include application support, hardware and software installation and troubleshooting.  ➢ Installation of front-end software as per user requirements.  ➢ Troubleshooting outlook related issues.  ➢ Maintaining Avaya profile in Avaya server.  ➢ Troubleshooting Virtual machine issues.  ➢ Installing softwares in Virtual machines.  ➢ Avaya Softphone installation, configuration & troubleshooting.  ➢ User account Creation/Deletion/Unlock & Password Reset in Active Directory.  ➢ VPN account Token Creation /Deletion/Renewal & troubleshooting.  ➢ Using Altris ticketing tool to monitor the incident status.    ACADAMIC PROFILE","November 2015 to Present","IT Specialist in Sutherland","Chennai, Tamil Nadu","Vel Tech Multi-tech Dr. RR && Jaya Polytechnic Chennai, Tamil Nadu","2011 to 2014 && 2006 to 2009","B.TECH in INFORMATION TECHNOLOGY && DECE","To excel in the field as a professional to apply the best of skills and knowledge acquired and continuously strive for excellence as a professional to produce a synergy of personal and organizational acme and to be of value and significance to the organization."
